SubjNum	Name	Start Time	End Time	Days of Week	Room	Building
RST583	"Theories of Diversity, Inequality, and Social Change"	1:00 PM	3:50 PM	T	2030	1010 W Nevada
SOCW101	SOCW Orientation Seminar	4:00 PM	4:50 PM	MW	2027	1010 W Nevada
SOCW200	Introduction to Social Work	9:30 AM	10:45 AM	TR	2027	1010 W Nevada
SOCW200	Introduction to Social Work	12:30 PM	1:45 PM	TR	2027	1010 W Nevada
SOCW300	Diversity: Identities &amp; Issues	11:00 AM	12:15 PM	TR	2027	1010 W Nevada
SOCW300	Diversity: Identities &amp; Issues	2:00 PM	3:15 PM	TR	2027	1010 W Nevada
SOCW370	Social Work and Disability Studies	9:30 AM	10:45 AM	M	2027	1010 W Nevada
SOCW401	Practice I	11:00 AM	12:50 PM	MW	2030	1010 W Nevada
SOCW401	Practice I	8:00 AM	9:50 AM	TR	2030	1010 W Nevada
SOCW401	Practice I	11:00 AM	12:50 PM	TR	2030	1010 W Nevada
SOCW402	Practice II	11:00 AM	12:15 PM	MW	2101	1010 W Nevada
SOCW403	Practice III	9:00 AM	10:15 AM	MW	2030	1010 W Nevada
SOCW403	Practice III	11:00 AM	12:15 PM	MW	2027	1010 W Nevada
SOCW403	Practice III	1:00 PM	2:15 PM	MW	2019	1010 W Nevada
SOCW410	Social Welfare Pol and Svcs	8:00 AM	10:50 AM	W	2027	1010 W Nevada
SOCW410	Social Welfare Pol and Svcs	9:00 AM	11:50 AM	R	2023	1010 W Nevada
SOCW420	Subst Use in Social Context	3:30 PM	4:45 PM	TR	2027	1010 W Nevada
SOCW427	Social Work Research Methods	9:00 AM	11:50 AM	M	2019	1010 W Nevada
SOCW427	Social Work Research Methods	9:00 AM	11:50 AM	T	2023	1010 W Nevada
SOCW427	Social Work Research Methods	2:00 PM	3:15 PM	MW	2027	1010 W Nevada
SOCW427	Social Work Research Methods	9:30 AM	10:45 AM	TR	2101	1010 W Nevada
SOCW427	Social Work Research Methods	12:30 PM	1:45 PM	TR	2023	1010 W Nevada
SOCW451	HBSE I: Human Development	9:30 AM	10:45 AM	W	2023	1010 W Nevada
SOCW451	HBSE I: Human Development	11:00 AM	12:15 PM	W	2023	1010 W Nevada
SOCW461	Professional Practice Seminar I	1:00 PM	2:45 PM	M	2023	1010 W Nevada
SOCW461	Professional Practice Seminar I	3:00 PM	4:45 PM	M	2018	1010 W Nevada
SOCW461	Professional Practice Seminar I	9:00 AM	10:45 AM	T	2018	1010 W Nevada
SOCW500	SW Practice with Indiv and Fam	5:00 PM	7:50 PM	W	2030	1010 W Nevada
SOCW503	Trauma Informed Social Work with Children and Adolescents	ARRANGED		S	2018	1010 W Nevada
SOCW506	SW Practice with Child/Adol	9:00 AM	11:50 AM	W	2019	1010 W Nevada
