SubjNum,Name,Start Time,End Time,Days of Week,Room,Building
AAS100,Intro Asian American Studies,9:00 AM,9:50 AM,F,313,Davenport Hall
AAS200,U.S. Race and Empire,2:00 PM,3:20 PM,TR,327,Gregory Hall
AAS201,US Racial &amp; Ethnic Politics,ARRANGED,,,,
AAS246,Asian American Youth in Film,3:00 PM,5:20 PM,M,313,Gregory Hall
AAS275,The Politics of Fashion,2:00 PM,2:50 PM,F,1051,Lincoln Hall
AAS281,Constructing Race in America,9:00 AM,9:50 AM,F,327,Gregory Hall
AAS297,Asian Families in America,9:30 AM,10:45 AM,TR,302,Architecture Building
AAS300,"Theories of Race, Gender, and Sexuality",10:00 AM,11:20 AM,MW,156,English Building
AAS310,Race and Cultural Diversity,2:00 PM,3:50 PM,R,,
AAS343,Criminalization and Punishment,3:30 PM,4:50 PM,TR,G46,Foreign Languages Building
AAS402,Asian American Education,10:00 AM,11:50 AM,T,22,Education Building
AAS501,Theory and Methods in AAS,10:00 AM,12:20 PM,T,215,Davenport Hall
ABE100,Intro Agric &amp; Biological Engrg,1:00 PM,2:50 PM,R,208,Agricultural Engr Sciences Bld
ABE199,Undergraduate Open Seminar,ARRANGED,,,,
ABE223,ABE Principles: Machine Syst,8:00 AM,9:50 AM,T,,
ABE224,ABE Principles: Soil &amp; Water,10:00 AM,11:50 AM,T,,
ABE232,Context in International Interventions,2:00 PM,3:20 PM,TR,302,Architecture Building
ABE340,Thermodynamics for Agricultural and Biological Engineering,3:00 PM,4:50 PM,M,248,Agricultural Engr Sciences Bld
ABE341,Transport Processes in ABE,11:00 AM,11:50 AM,F,242,Agricultural Engr Sciences Bld
ABE397,Independent Study,ARRANGED,,,,
ABE430,Project Management,1:00 PM,2:50 PM,R,,
ABE436,Renewable Energy Systems,ARRANGED,,,,
ABE440,Applied Statistical Methods I,3:30 PM,4:50 PM,TR,149,National Soybean Res Ctr
ABE452,Engineering for Disaster Resilience,12:30 PM,1:50 PM,TR,1035,Campus Instructional Facility
ABE459,Drainage and Water Management,3:00 PM,5:50 PM,W,242,Agricultural Engr Sciences Bld
ABE466,Engineering Off-Road Vehicles,2:00 PM,4:50 PM,R,242,Agricultural Engr Sciences Bld
ABE488,Bioprocessing Biomass for Fuel,12:30 PM,1:50 PM,TR,272,Agricultural Engr Sciences Bld
ABE497,Independent Study,ARRANGED,,,,
ABE498,Special Topics,ARRANGED,,,,
ABE501,Graduate Research I,1:00 PM,1:50 PM,F,272,Agricultural Engr Sciences Bld
ABE532,Advanced Contextual Design,3:30 PM,4:20 PM,R,302,Architecture Building
ABE594,Graduate Seminar,12:00 PM,12:50 PM,F,208,Agricultural Engr Sciences Bld
ABE599,Thesis Research,ARRANGED,,,,
ACCY199,Undergraduate Open Seminar,ARRANGED,,,,
ACCY200,Fundamentals of Accounting,ARRANGED,,,,
ACCY201,Accounting and Accountancy I,8:00 AM,8:50 AM,F,2011,Business Instructional Fac
ACCY202,Accounting and Accountancy II,8:00 AM,8:50 AM,F,3057,Business Instructional Fac
ACCY290,Prof Internship in Accountancy,ARRANGED,,,,
ACCY301,Atg Measurement &amp; Disclosure,8:00 AM,9:20 AM,MW,2001,Business Instructional Fac
ACCY302,Decision Making for Atg,9:30 AM,10:50 AM,TR,2001,Business Instructional Fac
ACCY303,Accounting Institutions and Regulation,9:30 AM,10:50 AM,MW,1049,Business Instructional Fac
ACCY304,Accounting Control Systems,9:30 AM,10:50 AM,TR,1049,Business Instructional Fac
ACCY312,Principles of Taxation,11:00 AM,12:20 PM,MW,3001,Business Instructional Fac
ACCY321,Principles of Public Policy,5:30 PM,7:30 PM,W,ARR,Washington DC
